dt_sismo,fecha_sismo,hora_sismo,latitude,longitude,profundidad,mag,ubicacion,pais
2023-03-21 17:38:13.470000+00:00,2023-03-21,17:38:13.470000,-33.6108,-71.3399,60.008,5.6,"14 km NW of Melipilla, Chile",Chile
2023-03-23 05:43:54.886000+00:00,2023-03-23,05:43:54.886000,-34.0791,-70.2668,118.525,4.0,"37 km ENE of Machalí, Chile",Chile
2023-03-23 21:24:11.575000+00:00,2023-03-23,21:24:11.575000,-36.6925,-70.3526,159.043,4.5,"41 km WNW of Barrancas, Argentina",Chile
2023-03-24 06:13:23.735000+00:00,2023-03-24,06:13:23.735000,-30.0612,-71.4064,67.433,4.0,"13 km SSW of Coquimbo, Chile",Chile
2023-03-26 17:26:41.413000+00:00,2023-03-26,17:26:41.413000,-36.4913,-72.7481,45.215,4.7,"23 km NE of Tomé, Chile",Chile
2023-03-27 15:55:18.764000+00:00,2023-03-27,15:55:18.764000,-26.6924,-71.4807,13.287,4.4,"136 km WNW of Copiapó, Chile",Chile
2023-03-30 17:33:08.544000+00:00,2023-03-30,17:33:08.544000,-35.6663,-73.4965,26.0,6.3,"105 km WSW of Constitución, Chile",Chile
2023-03-30 18:26:36.661000+00:00,2023-03-30,18:26:36.661000,-35.8611,-73.4676,25.526,4.3,"95 km WNW of Quirihue, Chile",Chile
2023-03-30 19:55:02.918000+00:00,2023-03-30,19:55:02.918000,-35.7016,-73.5558,10.0,4.2,"111 km WSW of Constitución, Chile",Chile
2023-03-30 22:03:23.564000+00:00,2023-03-30,22:03:23.564000,-35.7216,-73.5253,10.0,4.4,"108 km NW of Quirihue, Chile",Chile
2023-03-31 10:46:21.534000+00:00,2023-03-31,10:46:21.534000,-24.7851,-70.0594,49.383,5.2,"81 km NNE of Taltal, Chile",Chile
2023-04-01 00:47:43.238000+00:00,2023-04-01,00:47:43.238000,-20.8783,-70.4879,32.217,4.2,"75 km SSW of La Tirana, Chile",Chile
2023-04-04 03:48:01.950000+00:00,2023-04-04,03:48:01.950000,-28.633,-71.251,35.0,4.4,"Near the coast of Atacama, Chile",Chile
2023-04-04 04:59:21.968000+00:00,2023-04-04,04:59:21.968000,-35.8893,-73.961,35.773,4.2,"Off the coast of Maule, Chile",Chile
2023-04-04 19:08:46.919000+00:00,2023-04-04,19:08:46.919000,-27.4327,-70.9617,53.0,5.9,"62 km W of Copiapó, Chile",Chile
2023-04-04 19:26:59.965000+00:00,2023-04-04,19:26:59.965000,-27.3615,-71.0494,52.645,4.6,"Near the coast of Atacama, Chile",Chile
2023-04-05 14:58:41.266000+00:00,2023-04-05,14:58:41.266000,-37.8493,-73.7325,16.684,4.3,"Near the coast of Bio-Bio, Chile",Chile
2023-04-05 21:04:20.147000+00:00,2023-04-05,21:04:20.147000,-32.1161,-71.6255,37.626,4.0,"52 km NW of La Ligua, Chile",Chile
2023-04-05 23:24:43.321000+00:00,2023-04-05,23:24:43.321000,-35.8336,-73.5659,10.0,4.2,"102 km NNW of Tomé, Chile",Chile
2023-04-06 15:45:38.819000+00:00,2023-04-06,15:45:38.819000,-27.4374,-71.1856,45.582,4.2,"84 km W of Copiapó, Chile",Chile
2023-04-09 05:24:33.798000+00:00,2023-04-09,05:24:33.798000,-19.2863,-70.2687,46.698,4.0,"16 km SW of Cuya, Chile",Chile
2023-04-10 08:33:24.093000+00:00,2023-04-10,08:33:24.093000,-32.3575,-71.4309,53.23,4.1,"21 km WNW of La Ligua, Chile",Chile
2023-04-10 10:54:41.370000+00:00,2023-04-10,10:54:41.370000,-32.62,-70.8372,77.055,4.5,"17 km NW of San Felipe, Chile",Chile
2023-04-11 16:09:34.115000+00:00,2023-04-11,16:09:34.115000,-45.4627,-77.1153,10.0,4.4,"Off the coast of Aisen, Chile",Chile
2023-04-11 16:19:14.055000+00:00,2023-04-11,16:19:14.055000,-31.4234,-72.0023,27.091,4.4,"82 km WNW of Illapel, Chile",Chile
2023-04-12 06:16:08.924000+00:00,2023-04-12,06:16:08.924000,-36.0751,-70.0888,179.503,4.2,"84 km N of Barrancas, Argentina",Chile
2023-04-16 00:06:51.963000+00:00,2023-04-16,00:06:51.963000,-53.9795,-70.7621,10.0,4.2,"92 km S of Punta Arenas, Chile",Chile
2023-04-20 04:23:23.228000+00:00,2023-04-20,04:23:23.228000,-30.9161,-71.5486,35.0,4.4,"48 km SW of Ovalle, Chile",Chile
2023-04-20 20:21:28.082000+00:00,2023-04-20,20:21:28.082000,-28.9833,-71.6568,35.0,4.1,"Near the coast of Atacama, Chile",Chile
2023-04-21 09:45:02.901000+00:00,2023-04-21,09:45:02.901000,-32.0901,-71.8999,27.245,4.1,"Near the coast of Valparaiso, Chile",Chile
2023-04-22 09:20:47.745000+00:00,2023-04-22,09:20:47.745000,-28.6332,-71.1761,62.775,3.7,"41 km W of Vallenar, Chile",Chile
2023-04-23 11:38:53.438000+00:00,2023-04-23,11:38:53.438000,-30.6523,-71.3359,51.06,4.3,"14 km WSW of Ovalle, Chile",Chile
2023-04-23 22:31:37.854000+00:00,2023-04-23,22:31:37.854000,-27.1669,-70.174,97.134,4.2,"27 km NE of Copiapó, Chile",Chile
2023-04-24 03:56:28.807000+00:00,2023-04-24,03:56:28.807000,-33.6233,-72.0504,22.643,4.7,"41 km W of San Antonio, Chile",Chile
2023-04-24 11:59:40.067000+00:00,2023-04-24,11:59:40.067000,-33.8736,-72.0695,24.12,4.1,,Chile
2023-04-26 12:57:50.155000+00:00,2023-04-26,12:57:50.155000,-26.609,-70.9392,32.792,4.2,"92 km WSW of Diego de Almagro, Chile",Chile
2023-04-27 06:07:13.429000+00:00,2023-04-27,06:07:13.429000,-35.6137,-71.3001,85.853,5.0,"Maule, Chile",Chile
2023-04-27 12:43:22.053000+00:00,2023-04-27,12:43:22.053000,-33.8482,-72.1677,23.651,4.1,"59 km WSW of San Antonio, Chile",Chile
2023-04-30 16:39:09.912000+00:00,2023-04-30,16:39:09.912000,-23.1988,-70.0657,61.904,4.3,"Near the coast of Antofagasta, Chile",Chile
2023-05-02 03:05:54.378000+00:00,2023-05-02,03:05:54.378000,-32.463,-71.1009,53.042,4.4,"12 km E of La Ligua, Chile",Chile
2023-05-02 13:55:51.633000+00:00,2023-05-02,13:55:51.633000,-28.9814,-71.7677,23.332,4.2,"108 km WSW of Vallenar, Chile",Chile
2023-05-04 04:48:35.164000+00:00,2023-05-04,04:48:35.164000,-39.5085,-72.7094,83.717,4.4,"17 km SSW of Loncoche, Chile",Chile
2023-05-04 08:28:34.583000+00:00,2023-05-04,08:28:34.583000,-33.7268,-70.587,92.069,4.0,"12 km S of Puente Alto, Chile",Chile
2023-05-07 06:29:01.035000+00:00,2023-05-07,06:29:01.035000,-25.3543,-70.5088,45.311,5.2,"6 km NNW of Taltal, Chile",Chile
2023-05-08 02:34:03.060000+00:00,2023-05-08,02:34:03.060000,-28.7013,-71.3014,43.848,4.1,"54 km WSW of Vallenar, Chile",Chile
2023-05-08 08:14:48.871000+00:00,2023-05-08,08:14:48.871000,-45.5305,-78.0488,10.0,4.6,"Off the coast of Aisen, Chile",Chile
2023-05-09 11:27:51.043000+00:00,2023-05-09,11:27:51.043000,-31.6836,-72.2798,27.345,4.3,"105 km W of Illapel, Chile",Chile
2023-05-09 23:39:40.334000+00:00,2023-05-09,23:39:40.334000,-26.0898,-70.7297,77.792,4.1,"76 km WNW of Diego de Almagro, Chile",Chile
